Loan_ID,,Customer_id,, LoanAmount ,,Loan_Amount_Term,,Cibil Score,,,,,,,,,,,,Remarks Criteria
LP001421,"(LP001421,",IP43119,"IP43119,",175,"175,",360,"360,",375,"375),",,,,,,,,,,,
LP001422,"(LP001422,",IP43120,"IP43120,",259,"259,",360,"360,",997,"997),",,,,,,,,,,,
LP001426,"(LP001426,",IP43121,"IP43121,",180,"180,",360,"360,",731,"731),",,,,,,,,,,,
LP001430,"(LP001430,",IP43122,"IP43122,",44,"44,",360,"360,",483,"483),",,,,,,,,,,,
LP001431,"(LP001431,",IP43123,"IP43123,",137,"137,",360,"360,",877,"877),",,,,,,,,,,,
LP001432,"(LP001432,",IP43124,"IP43124,",81,"81,",360,"360,",815,"815),",,,,,,,,,,,
LP001439,"(LP001439,",IP43125,"IP43125,",194,"194,",360,"360,",213,"213),",,,,,,,,,,,
LP001443,"(LP001443,",IP43126,"IP43126,",93,"93,",360,"360,",403,"403),",,,,,,,,,,,
LP001448,"(LP001448,",IP43127,"IP43127,",370,"370,",360,"360,",249,"249),",,,,,,,,,,,
LP001449,"(LP001449,",IP43128,"IP43128,",Null,"Null,",360,"360,",261,"261),",,,,,,,,,,,
LP001451,"(LP001451,",IP43129,"IP43129,",160,"160,",180,"180,",929,"929),",,,,,,,,,,,
LP001465,"(LP001465,",IP43130,"IP43130,",182,"182,",360,"360,",454,"454),",,,,,,,,,,,
LP001469,"(LP001469,",IP43131,"IP43131,",650,"650,",480,"480,",840,"840),",,,,,,,,,,,
LP001473,"(LP001473,",IP43132,"IP43132,",74,"74,",360,"360,",208,"208),",,,,,,,,,,,
LP001478,"(LP001478,",IP43133,"IP43133,",70,"70,",360,"360,",353,"353),",,,,,,,,,,,
LP001482,"(LP001482,",IP43134,"IP43134,",25,"25,",120,"120,",926,"926),",,,,,,,,,,,
LP001487,"(LP001487,",IP43135,"IP43135,",102,"102,",360,"360,",688,"688),",,,,,,,,,,,
LP001488,"(LP001488,",IP43136,"IP43136,",290,"290,",360,"360,",433,"433),",,,,,,,,,,,
LP001489,"(LP001489,",IP43137,"IP43137,",84,"84,",360,"360,",113,"113),",,,,,,,,,,,
LP001491,"(LP001491,",IP43138,"IP43138,",88,"88,",360,"360,",129,"129),",,,,,,,,,,,
LP001492,"(LP001492,",IP43139,"IP43139,",242,"242,",360,"360,",663,"663),",,,,,,,,,,,
LP001493,"(LP001493,",IP43140,"IP43140,",129,"129,",360,"360,",684,"684),",,,,,,,,,,,
LP001497,"(LP001497,",IP43141,"IP43141,",185,"185,",360,"360,",266,"266),",,,,,,,,,,,
LP001498,"(LP001498,",IP43142,"IP43142,",168,"168,",360,"360,",883,"883),",,,,,,,,,,,
LP001504,"(LP001504,",IP43143,"IP43143,",175,"175,",180,"180,",465,"465),",,,,,,,,,,,
LP001507,"(LP001507,",IP43144,"IP43144,",122,"122,",360,"360,",291,"291),",,,,,,,,,,,
LP001508,"(LP001508,",IP43145,"IP43145,",187,"187,",180,"180,",227,"227),",,,,,,,,,,,
LP001514,"(LP001514,",IP43146,"IP43146,",100,"100,",360,"360,",923,"923),",,,,,,,,,,,
LP001516,"(LP001516,",IP43147,"IP43147,",70,"70,",360,"360,",129,"129),",,,,,,,,,,,
LP001518,"(LP001518,",IP43148,"IP43148,",30,"30,",360,"360,",142,"142),",,,,,,,,,,,
LP001519,"(LP001519,",IP43149,"IP43149,",225,"225,",360,"360,",871,"871),",,,,,,,,,,,
LP001520,"(LP001520,",IP43150,"IP43150,",125,"125,",360,"360,",193,"193),",,,,,,,,,,,
LP001528,"(LP001528,",IP43151,"IP43151,",118,"118,",360,"360,",367,"367),",,,,,,,,,,,
LP001529,"(LP001529,",IP43152,"IP43152,",152,"152,",360,"360,",888,"888),",,,,,,,,,,,
LP001531,"(LP001531,",IP43153,"IP43153,",244,"244,",360,"360,",484,"484),",,,,,,,,,,,
LP001532,"(LP001532,",IP43154,"IP43154,",113,"113,",360,"360,",390,"390),",,,,,,,,,,,
LP001535,"(LP001535,",IP43155,"IP43155,",50,"50,",360,"360,",940,"940),",,,,,,,,,,,
LP001536,"(LP001536,",IP43156,"IP43156,",600,"600,",180,"180,",738,"738),",,,,,,,,,,,
LP001541,"(LP001541,",IP43157,"IP43157,",160,"160,",360,"360,",164,"164),",,,,,,,,,,,
LP001543,"(LP001543,",IP43158,"IP43158,",187,"187,",360,"360,",483,"483),",,,,,,,,,,,
LP001546,"(LP001546,",IP43159,"IP43159,",120,"120,",360,"360,",424,"424),",,,,,,,,,,,
LP001552,"(LP001552,",IP43160,"IP43160,",255,"255,",360,"360,",934,"934),",,,,,,,,,,,
LP001560,"(LP001560,",IP43161,"IP43161,",98,"98,",360,"360,",805,"805),",,,,,,,,,,,
LP001562,"(LP001562,",IP43162,"IP43162,",275,"275,",360,"360,",538,"538),",,,,,,,,,,,
LP001565,"(LP001565,",IP43163,"IP43163,",400,"400,",360,"360,",0,"0),",,,,,,,,,,,
LP001570,"(LP001570,",IP43164,"IP43164,",158,"158,",360,"360,",82,"82),",,,,,,,,,,,
LP001572,"(LP001572,",IP43165,"IP43165,",75,"75,",180,"180,",227,"227),",,,,,,,,,,,
LP001574,"(LP001574,",IP43166,"IP43166,",182,"182,",0,"0,",471,"471),",,,,,,,,,,,
LP001577,"(LP001577,",IP43167,"IP43167,",112,"112,",360,"360,",330,"330),",,,,,,,,,,,
LP001578,"(LP001578,",IP43168,"IP43168,",129,"129,",360,"360,",61,"61),",,,,,,,,,,,
LP001579,"(LP001579,",IP43169,"IP43169,",63,"63,",480,"480,",780,"780),",,,,,,,,,,,
LP001580,"(LP001580,",IP43170,"IP43170,",200,"200,",360,"360,",576,"576),",,,,,,,,,,,
LP001581,"(LP001581,",IP43171,"IP43171,",95,"95,",360,"360,",258,"258),",,,,,,,,,,,
LP001585,"(LP001585,",IP43172,"IP43172,",700,"700,",300,"300,",709,"709),",,,,,,,,,,,
LP001586,"(LP001586,",IP43173,"IP43173,",81,"81,",180,"180,",662,"662),",,,,,,,,,,,
LP001594,"(LP001594,",IP43174,"IP43174,",187,"187,",360,"360,",371,"371),",,,,,,,,,,,
LP001603,"(LP001603,",IP43175,"IP43175,",87,"87,",360,"360,",710,"710),",,,,,,,,,,,
LP001606,"(LP001606,",IP43176,"IP43176,",116,"116,",360,"360,",606,"606),",,,,,,,,,,,
LP001608,"(LP001608,",IP43177,"IP43177,",101,"101,",360,"360,",789,"789),",,,,,,,,,,,
LP001610,"(LP001610,",IP43178,"IP43178,",495,"495,",360,"360,",793,"793),",,,,,,,,,,,
LP001616,"(LP001616,",IP43179,"IP43179,",116,"116,",360,"360,",473,"473),",,,,,,,,,,,
LP001630,"(LP001630,",IP43180,"IP43180,",102,"102,",480,"480,",440,"440),",,,,,,,,,,,
LP001633,"(LP001633,",IP43181,"IP43181,",180,"180,",360,"360,",283,"283),",,,,,,,,,,,
LP001634,"(LP001634,",IP43182,"IP43182,",320,"320,",360,"360,",0,"0),",,,,,,,,,,,
LP001636,"(LP001636,",IP43183,"IP43183,",73,"73,",180,"180,",433,"433),",,,,,,,,,,,
LP001637,"(LP001637,",IP43184,"IP43184,",260,"260,",360,"360,",660,"660),",,,,,,,,,,,
LP001639,"(LP001639,",IP43185,"IP43185,",108,"108,",360,"360,",395,"395),",,,,,,,,,,,
LP001640,"(LP001640,",IP43186,"IP43186,",120,"120,",360,"360,",72,"72),",,,,,,,,,,,
LP001641,"(LP001641,",IP43187,"IP43187,",66,"66,",300,"300,",794,"794),",,,,,,,,,,,
LP001643,"(LP001643,",IP43188,"IP43188,",58,"58,",360,"360,",902,"902),",,,,,,,,,,,
LP001644,"(LP001644,",IP43189,"IP43189,",168,"168,",360,"360,",582,"582),",,,,,,,,,,,
LP001647,"(LP001647,",IP43190,"IP43190,",188,"188,",180,"180,",264,"264),",,,,,,,,,,,
LP001653,"(LP001653,",IP43191,"IP43191,",48,"48,",360,"360,",700,"700),",,,,,,,,,,,
LP001656,"(LP001656,",IP43192,"IP43192,",164,"164,",360,"360,",513,"513),",,,,,,,,,,,
LP001657,"(LP001657,",IP43193,"IP43193,",160,"160,",360,"360,",153,"153),",,,,,,,,,,,
LP001658,"(LP001658,",IP43194,"IP43194,",76,"76,",360,"360,",500,"500),",,,,,,,,,,,
LP001664,"(LP001664,",IP43195,"IP43195,",120,"120,",360,"360,",114,"114),",,,,,,,,,,,
LP001665,"(LP001665,",IP43196,"IP43196,",170,"170,",360,"360,",932,"932),",,,,,,,,,,,
LP001666,"(LP001666,",IP43197,"IP43197,",187,"187,",360,"360,",537,"537),",,,,,,,,,,,
LP001669,"(LP001669,",IP43198,"IP43198,",120,"120,",0,"0,",520,"520),",,,,,,,,,,,
LP001671,"(LP001671,",IP43199,"IP43199,",113,"113,",360,"360,",315,"315),",,,,,,,,,,,
LP001673,"(LP001673,",IP43200,"IP43200,",83,"83,",360,"360,",507,"507),",,,,,,,,,,,
LP001674,"(LP001674,",IP43201,"IP43201,",90,"90,",360,"360,",420,"420),",,,,,,,,,,,
LP001677,"(LP001677,",IP43202,"IP43202,",166,"166,",360,"360,",289,"289),",,,,,,,,,,,
LP001682,"(LP001682,",IP43203,"IP43203,",Null,"Null,",180,"180,",613,"613),",,,,,,,,,,,
LP001688,"(LP001688,",IP43204,"IP43204,",135,"135,",360,"360,",947,"947),",,,,,,,,,,,
LP001691,"(LP001691,",IP43205,"IP43205,",124,"124,",360,"360,",642,"642),",,,,,,,,,,,
LP001692,"(LP001692,",IP43206,"IP43206,",120,"120,",360,"360,",638,"638),",,,,,,,,,,,
LP001693,"(LP001693,",IP43207,"IP43207,",80,"80,",360,"360,",303,"303),",,,,,,,,,,,
LP001698,"(LP001698,",IP43208,"IP43208,",55,"55,",360,"360,",816,"816),",,,,,,,,,,,
LP001699,"(LP001699,",IP43209,"IP43209,",59,"59,",360,"360,",873,"873),",,,,,,,,,,,
LP001702,"(LP001702,",IP43210,"IP43210,",127,"127,",360,"360,",80,"80),",,,,,,,,,,,
LP001708,"(LP001708,",IP43211,"IP43211,",214,"214,",360,"360,",814,"814),",,,,,,,,,,,
LP001711,"(LP001711,",IP43212,"IP43212,",128,"128,",360,"360,",981,"981),",,,,,,,,,,,
LP001713,"(LP001713,",IP43213,"IP43213,",240,"240,",360,"360,",728,"728),",,,,,,,,,,,
LP001715,"(LP001715,",IP43214,"IP43214,",130,"130,",360,"360,",738,"738),",,,,,,,,,,,
LP001716,"(LP001716,",IP43215,"IP43215,",137,"137,",360,"360,",145,"145),",,,,,,,,,,,
LP001720,"(LP001720,",IP43216,"IP43216,",100,"100,",360,"360,",753,"753),",,,,,,,,,,,
LP001722,"(LP001722,",IP43217,"IP43217,",135,"135,",360,"360,",249,"249),",,,,,,,,,,,
LP001726,"(LP001726,",IP43218,"IP43218,",131,"131,",360,"360,",237,"237),",,,,,,,,,,,
LP001732,"(LP001732,",IP43219,"IP43219,",72,"72,",360,"360,",854,"854),",,,,,,,,,,,
LP001734,"(LP001734,",IP43220,"IP43220,",127,"127,",360,"360,",751,"751),",,,,,,,,,,,
LP001736,"(LP001736,",IP43221,"IP43221,",60,"60,",360,"360,",897,"897),",,,,,,,,,,,
LP001743,"(LP001743,",IP43222,"IP43222,",116,"116,",360,"360,",805,"805),",,,,,,,,,,,
LP001744,"(LP001744,",IP43223,"IP43223,",144,"144,",360,"360,",637,"637),",,,,,,,,,,,
LP001749,"(LP001749,",IP43224,"IP43224,",175,"175,",0,"0,",56,"56),",,,,,,,,,,,
LP001750,"(LP001750,",IP43225,"IP43225,",128,"128,",360,"360,",312,"312),",,,,,,,,,,,
LP001751,"(LP001751,",IP43226,"IP43226,",170,"170,",360,"360,",931,"931),",,,,,,,,,,,
LP001754,"(LP001754,",IP43227,"IP43227,",138,"138,",360,"360,",662,"662),",,,,,,,,,,,
LP001758,"(LP001758,",IP43228,"IP43228,",210,"210,",360,"360,",63,"63),",,,,,,,,,,,
LP001760,"(LP001760,",IP43229,"IP43229,",158,"158,",480,"480,",108,"108),",,,,,,,,,,,
LP001761,"(LP001761,",IP43230,"IP43230,",200,"200,",360,"360,",982,"982),",,,,,,,,,,,
LP001765,"(LP001765,",IP43231,"IP43231,",190,"190,",360,"360,",0,"0),",,,,,,,,,,,
LP001768,"(LP001768,",IP43232,"IP43232,",42,"42,",180,"180,",414,"414),",,,,,,,,,,,
LP001770,"(LP001770,",IP43233,"IP43233,",120,"120,",0,"0,",575,"575),",,,,,,,,,,,
LP001776,"(LP001776,",IP43234,"IP43234,",280,"280,",360,"360,",667,"667),",,,,,,,,,,,
LP001778,"(LP001778,",IP43235,"IP43235,",140,"140,",360,"360,",171,"171),",,,,,,,,,,,
LP001784,"(LP001784,",IP43236,"IP43236,",170,"170,",360,"360,",819,"819),",,,,,,,,,,,
LP001786,"(LP001786,",IP43237,"IP43237,",255,"255,",360,"360,",392,"392),",,,,,,,,,,,
LP001788,"(LP001788,",IP43238,"IP43238,",122,"122,",360,"360,",129,"129),",,,,,,,,,,,
LP001790,"(LP001790,",IP43239,"IP43239,",112,"112,",360,"360,",886,"886),",,,,,,,,,,,
LP001792,"(LP001792,",IP43240,"IP43240,",96,"96,",360,"360,",808,"808),",,,,,,,,,,,
LP001798,"(LP001798,",IP43241,"IP43241,",120,"120,",360,"360,",668,"668),",,,,,,,,,,,
LP001800,"(LP001800,",IP43242,"IP43242,",140,"140,",180,"180,",783,"783),",,,,,,,,,,,
LP001806,"(LP001806,",IP43243,"IP43243,",155,"155,",60,"60,",886,"886),",,,,,,,,,,,
LP001807,"(LP001807,",IP43244,"IP43244,",108,"108,",360,"360,",659,"659),",,,,,,,,,,,
LP001811,"(LP001811,",IP43245,"IP43245,",123,"123,",360,"360,",925,"925),",,,,,,,,,,,
LP001813,"(LP001813,",IP43246,"IP43246,",120,"120,",180,"180,",366,"366),",,,,,,,,,,,
LP001814,"(LP001814,",IP43247,"IP43247,",112,"112,",360,"360,",871,"871),",,,,,,,,,,,
LP001819,"(LP001819,",IP43248,"IP43248,",137,"137,",180,"180,",492,"492),",,,,,,,,,,,
LP001824,"(LP001824,",IP43249,"IP43249,",123,"123,",480,"480,",472,"472),",,,,,,,,,,,
LP001825,"(LP001825,",IP43250,"IP43250,",90,"90,",360,"360,",216,"216),",,,,,,,,,,,
LP001835,"(LP001835,",IP43251,"IP43251,",201,"201,",360,"360,",310,"310),",,,,,,,,,,,
LP001836,"(LP001836,",IP43252,"IP43252,",138,"138,",360,"360,",982,"982),",,,,,,,,,,,
LP001841,"(LP001841,",IP43253,"IP43253,",104,"104,",360,"360,",91,"91),",,,,,,,,,,,
LP001843,"(LP001843,",IP43254,"IP43254,",279,"279,",180,"180,",952,"952),",,,,,,,,,,,
